,price,model_year,manufacturer,model,date_posted,days_listed,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,age
599,18500,2018,ford,escape,2018-07-15,71,excellent,4.0,gas,36130,automatic,SUV,white,1.0,6
603,12900,2006,jeep,wrangler,2018-08-19,12,good,6.0,gas,147555,automatic,SUV,white,1.0,18
604,13750,2017,ford,escape,2018-10-15,48,excellent,4.0,gas,88136,automatic,SUV,white,1.0,7
608,5900,2007,jeep,grand cherokee laredo,2018-12-28,65,excellent,6.0,gas,147620,automatic,SUV,black,1.0,17
610,45500,2016,cadillac,escalade,2018-05-14,20,excellent,8.0,gas,37874,automatic,SUV,other,1.0,8
611,5500,2011,subaru,impreza,2019-04-15,48,good,4.0,gas,140312,automatic,sedan,red,1.0,13
612,16000,2013,ford,f-150,2018-05-26,41,excellent,6.0,gas,83000,automatic,truck,blue,1.0,11
615,8500,2005,chevrolet,silverado 1500,2018-09-03,39,excellent,8.0,gas,151366,automatic,pickup,red,1.0,19
620,13995,2013,toyota,highlander,2019-02-09,43,excellent,6.0,gas,110701,automatic,SUV,white,1.0,11
622,35900,2018,jeep,wrangler unlimited,2018-06-18,22,excellent,4.0,gas,17941,automatic,SUV,grey,1.0,6
624,26900,2015,toyota,tacoma,2018-08-25,33,excellent,6.0,gas,53390,automatic,truck,blue,1.0,9
627,6500,2007,toyota,rav4,2019-04-14,33,excellent,4.0,gas,118000,automatic,SUV,other,1.0,17
631,22500,2014,ford,f-150,2019-02-22,33,excellent,6.0,gas,95382,automatic,pickup,grey,1.0,10
636,21750,2014,toyota,tacoma,2019-02-21,34,excellent,6.0,gas,99246,automatic,pickup,grey,1.0,10
637,15495,2010,gmc,sierra 1500,2019-04-10,24,good,10.0,gas,150807,automatic,truck,white,1.0,14
641,17000,2011,chevrolet,silverado 1500,2019-01-03,21,excellent,8.0,gas,99325,automatic,pickup,black,1.0,13
652,17000,2008,gmc,sierra,2018-10-27,21,like new,8.0,gas,160000,automatic,pickup,silver,1.0,16
655,1999,2007,honda,pilot,2018-12-18,83,good,6.0,gas,288000,automatic,SUV,custom,1.0,17
656,7999,2012,chevrolet,equinox,2018-06-12,76,excellent,6.0,gas,148000,automatic,SUV,custom,1.0,12
657,7900,2001,ford,f-250,2018-12-02,23,excellent,10.0,gas,71000,automatic,truck,silver,1.0,23
658,14000,2003,ford,f250 super duty,2018-11-13,33,excellent,8.0,diesel,259000,automatic,pickup,red,1.0,21
660,14800,2009,jeep,wrangler,2019-03-25,66,excellent,4.0,gas,74780,automatic,other,other,1.0,15
661,10500,2016,chevrolet,equinox,2018-07-27,51,like new,4.0,gas,120000,automatic,SUV,grey,1.0,8
662,24995,2016,ram,1500,2018-12-28,13,excellent,8.0,gas,24909,automatic,pickup,white,1.0,8
665,27995,2016,ram,1500,2018-06-17,81,excellent,8.0,gas,26301,automatic,pickup,black,1.0,8
669,4995,2007,hyundai,santa fe,2019-01-05,23,good,6.0,gas,143000,automatic,SUV,blue,1.0,17
670,6750,2010,subaru,forester,2019-02-23,35,excellent,4.0,gas,106000,automatic,SUV,white,1.0,14
671,20995,2017,ford,f-150,2019-01-16,16,excellent,6.0,gas,131689,automatic,pickup,black,1.0,7
672,10000,2000,jeep,cherokee,2019-03-04,49,excellent,6.0,gas,75000,automatic,SUV,green,1.0,24
678,8400,2008,ford,escape,2018-12-09,4,good,4.0,gas,105317,automatic,hatchback,silver,1.0,16
679,40995,2015,cadillac,escalade,2018-10-17,16,like new,8.0,gas,55218,automatic,pickup,other,1.0,9
